//プレイヤーID 0 はリナ（左） 1はアキラ（右） 2はナレーション（中央）
//画像差し替え sprite,プレイヤーID,立ち絵の名前
//キャラクターを表示 visible,プレイヤーID,0 or 1
//トーク表示 talk,プレイヤーID,会話内容
//音を鳴らす sound,音の名前

[init]
fontspeed,2
sprite,0,rina_normal
sprite,1,akira_0_normal
visible,0,0
visible,1,0
visible,2,0

[main]
visible,2,0
talk,2,第1戦——リナの勝利。成金の男の顔から余裕が消えた。

talk,2,だが、男はすぐに端末を取り出し、何かを呼び出した。

visible,1,1
talk,2,アキラの通信が割り込んでくる。

sprite,1,akira_0_serious
talk,1,「まずい——相手がスクランブルを強化した」

visible,0,1
sprite,0,rina_surprise
talk,0,「スクランブル？　どういうこと？」

talk,1,「カードの表示パターンが書き換えられてる。ナノドットの配列が第1戦とは別物よ」

talk,1,「さっきまでの読み方は、もう通用しない」

talk,0,「……じゃあ、スペクトル・レンズも意味ないってこと!?」

talk,1,「いいえ、データ自体は見える。でも、データの"意味"が変わったの」

talk,1,「模様の対応関係が再シャッフルされてる——どれがどのペアか、一から見極め直す必要があるわ」

sprite,0,rina_sad
talk,0,「そんな……急にハードル上がりすぎでしょ……」

talk,1,「落ち着いて。一つだけ確かなことがある」

talk,1,「相手もこのカードで揃えなきゃいけない。つまり——ルールは必ず存在する」

talk,1,「でたらめに見えても、そこにはパターンがある。相手が読めるなら、あんたにも読めるはず」

sprite,0,rina_normal
talk,0,「……ルールがある、か」

talk,0,「わかった。最初の数枚で法則を掴む——それしかないよね」

sprite,1,akira_0_normal
talk,1,「ええ。　次の試合が始まる。通信を切るわ。……頑張りなさい」

talk,2,通信が途絶え、静寂がテーブルを包む。

talk,2,リナはレンズ越しに、書き換えられたカードの模様を睨みつけた。

talk,0,「……上等。パターンがあるなら、必ず見つけてやる」

talk,2,第2戦——今度はリナの洞察力が、本当に試される。
[end]
